workflow_name,client_cnt,sleep_time,median_latency,p99_latency,avg_latency,avg_throughput
c4,32,0,0.5703,1.4500,0.6123,52.2612
c4,32,0.01,0.5501,1.4925,0.5996,53.3680
c4,32,0.05,0.5104,1.6181,0.5795,55.2183
c4,32,0.1,0.4437,3.0820,0.5849,54.7075
c4,32,0.2,0.3484,4.2820,0.6243,51.2559
c4,32,0.5,0.2819,4.0719,0.6297,50.8172
c4,32,1,0.2512,5.5670,0.7831,40.8619

w6,32,0,0.8209,10.6434,1.5694,20.3898
w6,32,0.01,0.6501,15.7565,1.5659,20.4359
w6,32,0.05,0.7315,12.2422,1.5056,21.2538
w6,32,0.1,0.6411,9.2141,1.3085,24.4550
w6,32,0.2,0.5887,8.3580,1.1536,27.7381
w6,32,0.5,0.3629,8.2813,1.1682,27.3933
w6,32,1,0.2507,9.8219,1.3311,24.0411
